Date, national ENPA %
2021-10-21, 0.3804347826086957
2021-10-22, 0.38070652173913044
2021-10-23, 0.3809782608695652
2021-10-24, 0.38125
2021-10-25, 0.3815217391304348
2021-10-26, 0.38179347826086957
2021-10-27, 0.38206521739130433
2021-10-28, 0.38233695652173916
2021-10-29, 0.3826086956521739
2021-10-30, 0.3828804347826087
2021-10-31, 0.38315217391304346
2021-11-01, 0.3834239130434783
2021-11-02, 0.38369565217391305
2021-11-03, 0.3839673913043478
2021-11-04, 0.38423913043478264
2021-11-05, 0.3845108695652174
2021-11-06, 0.3847826086956522
2021-11-07, 0.38505434782608694
2021-11-08, 0.38532608695652176
2021-11-09, 0.38559782608695653
2021-11-10, 0.3858695652173913
2021-11-11, 0.3861413043478261
2021-11-12, 0.3864130434782609
2021-11-13, 0.38668478260869565
2021-11-14, 0.3869565217391304
2021-11-15, 0.38722826086956524
2021-11-16, 0.3875
2021-11-17, 0.3877717391304348
2021-11-18, 0.3880434782608696
2021-11-19, 0.38831521739130437
2021-11-20, 0.38858695652173914
2021-11-21, 0.3888586956521739
2021-11-22, 0.3891304347826087
2021-11-23, 0.3894021739130435
2021-11-24, 0.38967391304347826
2021-11-25, 0.3899456521739131
2021-11-26, 0.39021739130434785
2021-11-27, 0.3904891304347826
2021-11-28, 0.3907608695652174
2021-11-29, 0.3910326086956522
2021-11-30, 0.391304347826087
2021-12-01, 0.39157608695652174
2021-12-02, 0.39184782608695656
2021-12-03, 0.39211956521739133
2021-12-04, 0.3923913043478261
2021-12-05, 0.39266304347826086
2021-12-06, 0.3929347826086957
2021-12-07, 0.39320652173913045
2021-12-08, 0.3934782608695652
2021-12-09, 0.39375000000000004
2021-12-10, 0.3940217391304348
2021-12-11, 0.3942934782608696
2021-12-12, 0.39456521739130435
2021-12-13, 0.39483695652173917
2021-12-14, 0.39510869565217394
2021-12-15, 0.3953804347826087
2021-12-16, 0.3956521739130435
2021-12-17, 0.3959239130434783
2021-12-18, 0.39619565217391306
2021-12-19, 0.3964673913043478
2021-12-20, 0.39673913043478265
2021-12-21, 0.3970108695652174
2021-12-22, 0.3972826086956522
2021-12-23, 0.397554347826087
2021-12-24, 0.3978260869565218
2021-12-25, 0.39809782608695654
2021-12-26, 0.3983695652173913
2021-12-27, 0.39864130434782613
2021-12-28, 0.3989130434782609
2021-12-29, 0.39918478260869567
